No.	분류	스킬명	난이도	유형	설명	획득 경로/필요 스킬
11	진화형	[뇌룡]	상	액티브	검에 깃든 뇌전의 힘을 온몸으로 확장시켜, 뇌룡처럼 전장을 가로지르는 파괴적인 돌파술.	[뇌신검] 100% + [돌진] 100% 달성 후, 미궁의 가장 긴 직선 복도를 [돌진] 스킬만으로 멈추지 않고 돌파했을 때.
12	진화형	[만화경]	상	액티브	수만 개의 거울 속에 갇힌 듯, 수많은 환영과 빛으로 적의 모든 감각을 마비시키는 환술의 극의.	[미러 이미지] 100% + [빛나는 구슬] 100% 달성 후, 어둠 속에서 자신을 모방하는 '그림자 분신' 100개를 격파했을 때.
13	합체	[검방합일]	중	패시브/액티브	검과 방패를 하나의 몸처럼 다루어, 빈틈없는 공방일체의 전투술을 펼친다.	[검술] 60% + [방패술] 60%
14	합체	[광풍노도]	중	액티브	미친 바람과 성난 파도처럼, 두 자루의 검으로 모든 것을 베어버리는 맹렬한 난무.	[이도류] 70% + [회전 베기] 70%
15	합체	[투척의 달인]	중	패시브/액티브	던질 수 있는 모든 것을 극한의 정확도와 파괴력으로 투척하는 경지.	[단검 투척] 80% + [투창] 80%
16	합체	[병장기 통합술]	중	패시브/액티브	한 가지 무기에 얽매이지 않고, 상황에 따라 물 흐르듯 무기를 교체하며 싸운다.	5종류 무기술 60% + [무기 교체술] 80%
17	합체	[어검술]	중	액티브	내공이나 마력으로 검을 자유자재로 조종하여, 원거리의 적을 공격하거나 자신을 방어하는 방패로 삼는다.	[검술] 70% + [염력] 70%
18	합체	[파천]	중	액티브	창을 들고 음속으로 돌파하여 경로상의 모든 것을 파괴.	[창술] 80% + [돌진] 80%
19	합체	[혈풍]	중	액티브	벨 때마다 피안개를 일으켜 주변 적들의 시야와 사기를 저하시킴.	[도법] 70% + [피 흘리기] 80%
20	합체	[철권강기]	중	패시브/액티브	주먹에 강철 같은 내공을 둘러, 갑옷이나 바위조차 꿰뚫는 파괴적인 권법.	[격투술] 80% + [내공심법] 60%
21	합체	[금강불괴]	중	패시브/액티브	내외공의 극치. 몸이 금강석처럼 단단해져 어지간한 공격으로는 상처조차 입지 않는다.	[맷집] 100% + [호신강기] 80%
22	합체	[이화접목]	중	액티브	꽃을 옮겨 나무에 접붙이듯, 상대의 공격력을 역이용하여 그대로 되돌려주는 절묘한 무공.	[흘리기] 80% + [내공 운용] 70%
23	합체	[능공허도]	중	패시브/액티브	허공을 도장처럼 밟고 나아간다. 하늘을 걷듯 자유롭게 이동하는 최상위 경공술.	[경공] 80% + [바람 일으키기] 60%
24	합체	[흡성대법]	중	액티브	별의 기운마저 빨아들인다는 사파의 기공. 상대의 내공이나 마나를 강제로 흡수한다.	[마나 흡수] 70% + [내공심법] 70%
25	합체	[육맥신검]	상	액티브	손가락 끝에서 보이지 않는 검기를 쏘아 보내는 절세의 기공술.	[탄지신공] 80% + [기공] 80%
26	합체	[음양조화]	중	패시브/액티브	뜨거운 양의 기운과 차가운 음의 기운을 한 몸에 다루어 조화를 이룬다.	[화염 손길] 60% + [서리 손길] 60%
27	합체	[항마장]	중	액티브	신성력을 주먹에 담아 악을 정화하는 장법.	[격투술] 70% + [성스러운 빛] 60%
28	합체	[작열의 폭풍]	중	액티브	휘몰아치는 바람에 불길을 실어, 모든 것을 태우고 베어버리는 지옥의 회오리를 소환한다.	[화염구] 70% + [바람 칼날] 70%
29	합체	[절대 영도]	상	액티브	모든 분자 운동이 멈추는 궁극의 냉기를 구현한다. 닿는 모든 것을 영원한 얼음 속에 가둔다.	[빙결 화살] 100% + [둔화] 80%
30	합체	[아크 리치]	상	액티브/변신	죽음을 지배하는 자. 강력한 언데드를 다수 소환하고, 죽음과 저주를 퍼뜨리는 상위 리치로 변신한다.	[시체 조종] 80% + [흑마법] 80%
31	합체	[크로노맨서]	상	액티브	시간의 흐름에 개입하는 시공 마법사. 아군을 가속시키고 적의 시간을 멈춘다.	[가속] 80% + [둔화] 80%
32	합체	[원소의 군주]	상	패시브/액티브	불, 물, 바람, 흙의 4대 원소를 자유자재로 다루며, 상황에 맞춰 속성을 변화시키며 싸운다.	4대 원소 마법 70% + [공명] 80%
33	합체	[유성 낙하]	상	액티브	하늘에서 불타는 거대한 암석을 소환하여 지상에 떨어뜨리는, 재앙과도 같은 마법.	[화염구] 100% + [돌 파편] 100%
34	합체	[생명의 나무]	중	액티브	대지에 생명의 기운을 불어넣어 거대한 나무를 솟아나게 한다. 아군을 치유하고 적을 속박한다.	[치유의 손길] 80% + [속박] 80%
35	합체	[정신 붕괴]	상	액티브	대상의 정신을 직접 공격하여 내면의 가장 끔찍한 악몽과 마주하게 만든다.	[혼란] 80% + [공포] 80%
36	합체	[사막의 장벽]	중	액티브	모래를 녹여 거대한 유리벽을 세우는 방어 마법.	[흙벽] 70% + [유리 제작] 60%
37	합체	[자기장 폭풍]	중	액티브	강력한 자기장을 만들어 금속 장비를 입은 적들을 무력화.	[전기 충격] 70% + [중력 가중] 60%
38	합체	[성기사]	중	패시브/액티브	신성한 신념을 검에 담아 악을 처단하고, 기적의 힘으로 아군을 치유하는 신의 대리인.	[검술] 70% + [치유의 손길] 70%
39	합체	[그림자 마법사]	중	액티브	그림자와 환영을 다루는 마법사. 모습을 감추고 적을 교란하며, 예측 불가능한 위치에서 마법을 사용한다.	[은신] 70% + [환영] 70%
40	합체	[정령 궁수]	중	패시브/액티브	활에 정령의 힘을 깃들여 쏘는 궁수. 상황에 따라 다양한 속성의 마법 화살을 사용한다.	[궁술] 80% + [정령 소환] 60%
41	합체	[미식 연금술]	중	패시브/액티브	요리와 연금술의 경계를 허물어, 먹는 것만으로도 기적을 일으키는 비술.	[요리] 70% + [간단한 물약 제조] 70%
42	합체	[전장의 기술자]	중	액티브	전장에서 얻은 재료로 즉석에서 강력한 함정이나 방어 시설을 만들어 전황을 바꾼다.	[함정 설치] 70% + [분해] 70%
43	합체	[골렘 마스터]	중	패시브/액티브	단순한 골렘을 넘어, 다양한 광물의 특성을 이해하고 조합하여 특수 골렘을 창조하는 경지.	[골렘 소환] 80% + [광물학] 80%
44	합체	[야수 지배자]	중	패시브/액티브	사랑과 공포를 동시에 사용하여, 미궁의 흉폭한 야수들을 자신의 수족처럼 부리는 왕.	[동물 교감] 80% + [위협] 80%
45	합체	[정보 상인]	중	패시브/액티브	모든 정보에는 가치가 있음을 안다. 진실과 거짓을 꿰뚫어 보고, 그것으로 부와 권력을 얻는다.	[흥정] 80% + [거짓말 간파] 80%
46	합체	[룬 대장장이]	상	액티브	고대의 룬 문자를 무기나 갑옷에 직접 새겨, 영구적인 마법 장비를 제작하는 비술.	[대장장이] 80% + [룬 문자 해독] 70%
47	합체	[전장의 음유시인]	중	액티브	내공을 실은 연주와 노래로, 아군에게는 희망을, 적에게는 절망을 선사하는 전장의 예술가.	[공연] 80% + [사자후] 70%
48	합체	[암살 요리사]	중	액티브	겉보기엔 완벽하지만, 먹는 순간 영혼까지 녹여버리는 치명적인 독이 든 요리를 만든다.	[요리] 80% + [독극물 제조] 70%
49	합체	[유적 탐험가]	중	패시브/액티브	고대 유적의 구조와 함정의 원리를 꿰뚫어 보고, 오히려 그것을 역이용하는 전문가.	[고고학] 80% + [함정 해체] 70%
50	합체	[그림자 외교관]	상	액티브	다른 사람으로 위장하여 대상의 마음을 읽고 조종하는, 보이지 않는 곳에서 세계를 움직이는 첩보의 달인.	[변장] 80% + [섭심술] 70%
51	합체	[역병 의사]	상	액티브	독으로 독을 다스린다. 아군에게는 기적의 치료제가, 적에게는 끔찍한 질병이 된다.	[독공] 80% + [치유의 손길] 70%
52	합체	[진법술사]	상	액티브	동양의 진법과 서양의 마법진을 융합하여, 공간의 법칙 자체에 개입하는 강력한 결계를 만든다.	[진법] 70% + [마법진 설치] 70%
53	합체	[천문 항해사]	중	패시브/액티브	별을 보고 길을 찾는 것을 넘어, 별의 운행을 읽어 미래의 안전한 길이나 숨겨진 보물을 예측한다.	[지도 제작] 80% + [점성술] 70%
54	합체	[전쟁 상인]	상	패시브/액티브	파티원들에게 맞춤형 장비를 제공하고, 전투를 지휘하여 효율을 극대화하는 전략가.	[리더십] 80% + [대장장이] 70%
55	합체	[몽환술사]	상	액티브	적을 재운 뒤 꿈속에 들어가 정보를 빼내거나 악몽을 꾸게 하여 정신을 파괴한다.	[수면] 80% + [환영] 80%
56	합체	[카피캣]	중	액티브	상대방의 기본적인 기술을 한 번 보고 어설프게나마 따라하는 천재적인 모방꾼.	[관찰] 80% + [임기응변] 80%
57	합체	[자연의 수호자]	상	패시브/액티브	숲의 모든 동식물을 자신의 아군으로 삼아, 자연을 파괴하는 자들을 응징한다.	[동물과의 대화] 80% + [식물 성장] 80%
58	합체	[무기 강탈자]	중	액티브	적의 무기를 빼앗아 즉시 자신의 주무기처럼 사용하며, 상대를 농락한다.	[무기 뺏기] 80% + [무기 교체술] 80%
59	합체	[스팀펑크 공학자]	중	액티브	마법이 아닌 증기 기관과 기계 장치로 전투를 보조하는 이단의 발명가.	[기계 팔] 70% + [화염방사기] 70%
60	합체	[고대의 서기관]	중	액티브	잊혀진 언어로 마법 주문을 기록하여, 누구나 사용할 수 있는 강력한 '마법 두루마리'를 만든다.	[언어학] 100% + [필사] 80%
61	합체	[혼돈의 도박사]	상	액티브	자신의 운에 모든 것을 걸고, 예측 불가능한 결과로 전황을 뒤엎는 트릭스터.	[주사위] 80% + [강운] 80%
62	합체	[블러드본]	중	패시브	죽음의 문턱에서 살아 돌아온 자. 피를 흘릴수록 오히려 더욱 강해진다.	[생존] 100% + [피 흘리기] 80%
63	합체	[미믹]	중	액티브	아이템이나 사물로 위장하여 적을 기다리는 기만과 기습의 전문가.	[아이템 식별] 80% + [변신] 70%
64	합체	[타임 봄버]	상	액티브	시간에 간섭하는 폭탄을 설치한다. 폭발은 잠시 후에 일어나지만, 그 피해는 현재에 적용된다.	[폭탄 투척] 80% + [인과 역전] 70%
65	합체	[아바타]	상	액티브/변신	상위 정령이나 신의 화신이 되어, 그 힘을 일시적으로 지상에 구현한다.	[정령과의 대화] 100% + [빙의] 80%
66	합체	[감정 이입자]	중	패시브/액티브	타인의 감정을 마치 자신의 것처럼 느끼고, 그 감정을 증폭시켜 전투에 활용한다.	[감정 이입] 80% + [격려] 80%
67	합체	[드림 워커]	상	액티브	타인의 꿈속을 자유롭게 거닐며, 현실에까지 영향을 미치는 꿈의 지배자.	[몽환술사] 80% + [유체이탈] 80%
68	합체	[메카닉 라이더]	중	액티브	살아있는 생명체 대신, 자신이 직접 만든 기계 탈것을 타고 전장을 누빈다.	[말 타기] 80% + [스팀펑크 공학자] 80%
69	합체	[소울 바인더]	중	액티브	물리적인 밧줄이 아닌, 영혼의 사슬로 대상을 속박하여 저항을 무력화시킨다.	[포박] 80% + [영혼 감지] 80%
70	합체	[월드 메이커]	상	액티브	자신이 그린 지도를 현실에 투영하여, 아군에게 유리한 가상의 공간을 창조한다.	[지도 제작] 100% + [환영] 100%
71	합체	[마켓 컨트롤러]	상	패시브/액티브	시장의 정보를 독점하고, 거짓 정보와 위조품으로 시세를 조작하여 막대한 부를 쌓는다.	[정보 상인] 80% + [위조] 80%
72	합체	[사이코메트러]	상	액티브	물건에 깃든 기억을 읽는 것을 넘어, 그 물건의 주인이 사용했던 스킬까지 재현해낸다.	[염사] 80% + [아이템 감정] 80%
73	합체	[아키비스트]	중	패시브	세상의 모든 지식과 이야기를 수집하고 보관하는 살아있는 도서관.	[고대의 서기관] 80% + [기록] 100%
74	합체	[트랩 마스터]	상	액티브	하나의 함정이 아닌, 여러 함정을 연계하여 적을 필살의 구렁텅이로 빠뜨리는 함정의 대가.	[함정 설치] 100% + [연쇄 반응] 80%
75	합체	[페이탈 프레임]	중	액티브	저주받은 사진기로 영혼을 촬영하여, 사진 속에 봉인하거나 피해를 준다.	[그림] 80% + [영혼 감지] 80%
76	합체	[바드]	상	패시브/액티브	그의 음악과 이야기는 사람의 마음을 움직여, 불가능한 용기를 끌어내게 한다.	[전장의 음유시인] 80% + [이야기 들려주기] 80%
77	합체	[셰이프시프터]	중	액티브	자신이 처치하고 연구한 몬스터의 형태로 변신하여, 그 능력을 사용한다.	[변신] 80% + [몬스터 지식] 80%
78	합체	[스펠바운드]	중	액티브	마법을 스크롤이나 아이템에 봉인하는 것을 넘어, 살아있는 생명체에게 직접 각인한다.	[아이템 인챈트] 80% + [마력 응축] 80%
79	합체	[컨트랙터]	상	패시브/액티브	악마를 힘으로 굴복시키는 것이 아닌, 교묘한 계약으로 묶어 자신의 이익을 극대화한다.	[악마와의 계약] 80% + [협상] 80%
80	합체	[하이 프리스트]	상	패시브/액티브	신의 대리인이자, 신도들의 지도자. 신앙의 힘을 모아 거대한 기적을 행한다.	[신의 기적] 80% + [리더십] 80%
81	합체	[킹메이커]	상	액티브	자신이 왕이 되는 것이 아니라, 다른 이를 왕으로 만들어 막후에서 실권을 쥐는 책략가.	[지휘자] 80% + [설득] 80%
82	합체	[패러사이트]	상	액티브	타인의 몸에 기생하여 그 능력과 생명력을 빼앗아 성장하는 존재.	[생명력 갈취] 80% + [빙의] 80%
83	합체	[이모탈]	상	패시브	육체가 파괴되어도 영혼만 무사하면 몇 번이고 부활하는 불사의 존재.	[금강불괴] 80% + [재생] 80%
84	합체	[스페이스 리퍼]	상	액티브	공간을 베는 낫으로, 시공간을 넘나들며 적의 목숨을 거두는 차원의 사신.	[공간 왜곡] 80% + [전투 낫] 80%
85	합체	[네크로노미콘]	상	액티브	금단의 지식이 담긴 마도서 '네크로노미콘'과 동화되어, 그 책의 힘을 자유자재로 사용한다.	[고대의 서기관] 80% + [아크 리치] 80%
86	합체	[월드 가든]	중	액티브	척박한 땅을 비옥한 정원으로 바꾸고, 그곳에서 자라나는 신비한 재료로 기적을 창조한다.	[테라포밍] 80% + [미식 연금술] 80%
87	합체	[빌드 마스터]	중	액티브	단순한 쉼터를 넘어, 자동 방어 시설과 강화 진법이 갖춰진 강력한 '요새'를 건설한다.	[간이 쉼터 건설] 80% + [진법술사] 80%
88	합체	[크리쳐 콜렉터]	중	액티브	몬스터를 죽여 변신하는 것을 넘어, 살아있는 채로 포획하여 자신의 '컬렉션'으로 삼는다.	[셰이프시프터] 80% + [포박] 80%
89	합체	[스토리텔러]	상	액티브	세상의 모든 이야기를 알고 있으며, 그 이야기를 현실에 구현하여 기적을 일으킨다.	[바드] 80% + [아카식 레코드] 80%
90	합체	[미러 마스터]	상	액티브	모든 것을 비추고 모방하는 거울의 대가. 상대는 결국 자기 자신과 싸우다 쓰러진다.	[미러 이미지] 80% + [카피캣] 80%
91	합체	[그래피티 아티스트]	중	액티브	벽이나 바닥에 마력이 담긴 그림(그래피티)을 그려, 그 위를 지나가는 대상에게 효과를 발동시킨다.	[그림] 80% + [룬 각인] 80%
92	합체	[아바레스트]	중	패시브/액티브	마력이 아닌, 기계 공학과 화약의 힘으로 석궁을 개조하여 연발 사격이나 폭발적인 공격을 한다.	[석궁술] 80% + [스팀펑크 공학자] 80%
93	합체	[카르마]	상	패시브/액티브	모든 행동에는 업보가 따른다는 법칙을 구현한다. 선행은 축복으로, 악행은 저주로 돌아온다.	[인과 역전] 80% + [심판] 80%
94	합체	[샌드맨]	중	액티브	모래를 다루어 적의 눈을 멀게 하고, 잠의 가루를 뿌려 영원한 꿈으로 인도한다.	[지형 변화] 80% + [몽환술사] 80%
95	합체	[스카우터]	중	패시브/액티브	상대의 전투력을 수치화하여 보고, 가장 치명적인 약점을 간파하는 분석가.	[천리안] 80% + [약점 분석] 80%
96	합체	[뱅가드]	중	액티브	항상 선두에서 적진을 돌파하고, 아군을 위해 길을 여는 용맹한 선봉장.	[방패 돌격] 80% + [전투의 함성] 80%
97	합체	[오라클]	상	액티브	신의 목소리를 듣고, 모호하지만 반드시 일어날 미래를 예언하는 신탁관.	[예지] 80% + [신탁] 80%
98	합체	[데드 아이]	상	액티브	숨을 멈추고, 심장이 멎은 듯한 극도의 집중 상태에서 필중의 일격을 날린다.	[저격] 80% + [심안] 80%
99	합체	[포트리스]	상	액티브	움직이는 요새. 거대한 골렘의 몸체에 각종 방어 시설을 탑재하여 전장을 지배한다.	[빌드 마스터] 80% + [골렘 마스터] 80%
100	합체	[팬텀]	상	패시브/액티브	물질과 비물질의 경계를 넘나드는 유령 같은 존재. 벽을 통과하고, 방어를 무시한다.	[유령의 일격] 80% + [위상 변화] 80%
101	합체	[바이러스]	중	액티브	기계와 골렘에게 치명적인 '논리 바이러스'를 퍼뜨려, 시스템을 파괴하고 제어권을 빼앗는다.	[마력 역병] 80% + [기계 공학] 80%
102	합체	[큐레이터]	중	패시브/액티브	세상의 희귀한 존재들을 수집하고, 그들의 지식과 생태를 완벽하게 기록하는 박물관장.	[크리쳐 콜렉터] 80% + [아키비스트] 80%
103	합체	[만독불침]	상	패시브/액티브	세상의 모든 독을 겪고 이겨내어, 더 이상 어떤 독도 통하지 않는 경지에 이른다.	[독공] 80% + [해독] 100%
104	합체	[태극]	상	액티브	강함과 부드러움, 음과 양의 조화를 통해 모든 힘의 흐름을 지배하는 무상의 경지.	[이화접목] 80% + [반탄] 80%
105	합체	[천마군림보]	상	패시브/액티브	마도의 정점에 선 자의 보법. 한 걸음 내디딜 때마다 세상이 그의 발아래에 있는 듯한 위압감을 뿜어낸다.	[경공] 80% + [마기] 70%
106	합체	[천리전음]	중	패시브/액티브	내공으로 소리를 엮고 증폭시키는 기술의 극치. 천리 밖에서도 소리를 주고받을 수 있다.	[전음입밀] 80% + [사자후] 60%
107	합체	[빙백신장]	중	액티브	뼛속까지 파고드는 차가운 음기를 손바닥에 모아 발출하는 장법.	[빙공] 80% + [격투술] 70%
108	합체	[화룡장]	중	액티브	타오르는 용의 기운을 담은 장법. 모든 것을 불태울 듯한 열기를 뿜어낸다.	[화공] 80% + [격투술] 70%
109	합체	[무영각]	중	액티브	형체가 보이지 않을 정도로 빠른 발차기. 검의 예리함을 발에 담았다.	[쾌검] 70% + [발차기] 80%
110	합체	[분신마공]	상	액티브	자신의 마기와 생명력을 떼어내 실체에 가까운 분신을 만드는 사술.	[분신술] 70% + [흡공] 70%
111	합체	[천수여래장]	상	액티브	부처의 자비와 분노를 담아, 수많은 손의 환영으로 적을 제압하는 신성한 장법.	[격투술] 100% + [기도] 80%
112	합체	[지폭천성]	상	액티브	중력을 극도로 압축시킨 핵을 만들어, 주변의 모든 것을 끌어당겨 거대한 바위 감옥을 만든다.	[중력 가중] 80% + [돌 파편] 80%
113	합체	[탈명삭]	중	액티브	채찍 끝에 내공을 실어, 적의 혈도를 원거리에서 타격하여 목숨을 거두는 기술.	[채찍술] 70% + [점혈] 70%
114	합체	[건곤대나이]	상	액티브	하늘과 땅의 힘을 뒤바꾼다. 상대의 힘을 흡수하고 변환하여 자신의 것으로 삼는 기공.	[마력 역류] 80% + [운기조식] 80%
115	합체	[참마]	중	패시브/액티브	마를 베는 의지를 도에 담았다. 모든 악마와 마물에게 천벌을 내리는 도법.	[퇴마] 70% + [도법] 70%
116	합체	[철산고]	중	액티브	온몸을 거대한 무쇠 산처럼 만들어 적에게 부딪히는 강력한 근접 기술.	[돌진] 70% + [금종조] 70%
117	합체	[유운신법]	중	패시브/액티브	하늘에 떠가는 구름처럼, 정해진 형태 없이 부드럽게 움직이며 모든 공격을 흘려보내는 보법.	[경공] 70% + [회피] 80%
118	합체	[나비의 꿈]	상	액티브	현실과 환상의 경계를 무너뜨려, 적을 영원한 꿈속에 가두는 정신계 비술.	[환영] 80% + [섭심술] 70%
119	합체	[암흑진]	중	액티브	빛이 존재하지 않는 절대적인 어둠의 공간을 만들어, 적들의 모든 감각을 마비시키는 진법.	[진법] 70% + [어둠] 80%
120	합체	[독안개]	중	액티브	독을 안개 형태로 퍼뜨려 광범위한 지역을 오염시키는 기술.	[독공] 70% + [바람 일으키기] 60%
121	합체	[반야심경]	중	액티브	불경을 외워 모든 마를 물리치고, 듣는 이의 마음을 평온하게 하는 신성한 기술.	[묵언] 80% + [퇴마] 80%
122	합체	[유아독존]	상	패시브/액티브	천상천하에 오직 나만이 홀로 존귀하다. 주변을 압도하는 절대적인 카리스마.	[패도] 80% + [리더십] 80%
123	합체	[메일스트롬]	상	액티브	거대한 물 소용돌이를 만들어, 모든 것을 중심으로 끌어당겨 파괴한다.	[중력 가중] 70% + [물 생성] 80%
124	합체	[사일런트 필드]	중	액티브	마법의 근원인 소리와 진동을 차단하는 결계를 설치한다.	[침묵] 80% + [마법진 설치] 70%
125	합체	[프리즘 월]	중	액티브	순수한 빛으로 프리즘 형태의 벽을 만들어, 마법 공격을 분산시키거나 속성을 변화시킨다.	[빛나는 구슬] 70% + [마력 방패] 80%
126	합체	[아스트랄 프로젝션]	상	액티브	영혼을 아스트랄계로 보내, 물질계의 제약을 넘어 더 멀리, 더 깊은 곳을 탐험한다.	[유체이탈] 80% + [염사] 70%
127	합체	[리츄얼 오브 서모닝]	상	액티브	복잡한 의식과 제물을 통해, 계약한 상위 악마나 다른 차원의 존재를 이 땅에 강림시킨다.	[의식] 80% + [악마와의 계약] 70%
128	합체	[테라포밍]	상	액티브	지형 자체를 바꾸고 생태계를 창조하여, 전장을 자신에게 유리한 환경으로 바꾼다.	[지형 변화] 80% + [식물 성장] 80%
129	합체	[마력 역병]	중	액티브	마나를 오염시키는 역병을 퍼뜨려, 적 마법사들을 무력화시킨다.	[마나 번] 70% + [부패] 70%
130	합체	[아카식 레코드]	상	액티브	세상의 모든 기억이 기록된 '아카샤'에 접속하여, 잊혀진 지식이나 미래의 단편을 엿본다.	[기억 조작] 80% + [언어학] 100%
131	합체	[골렘 군단]	중	액티브	하나의 강력한 골렘이 아닌, 수많은 소형 골렘을 한 번에 소환하여 물량으로 압도한다.	[골렘 소환] 80% + [분신술] 70%
132	합체	[피의 저주]	상	액티브	대상의 피 자체에 저주를 걸어, 시간이 지날수록 점점 쇠약해지게 만든다.	[생명력 갈취] 70% + [저주] 80%
133	합체	[신의 기적]	상	액티브	굳건한 신앙에 신이 응답하여, 불가능을 가능으로 만드는 기적을 행한다.	[기도] 100% + [성스러운 빛] 80%
134	합체	[마법 무효화 영역]	상	액티브	모든 마법이 그 힘을 잃는 공간을 만든다.	[마법 해제] 80% + [마력 중화] 80%
135	합체	[미러 이미지]	중	액티브	자신과 똑같이 생긴, 실체에 가까운 환영 분신을 여러 개 만들어 적을 혼란시킨다.	[환영] 80% + [빛의 굴절] 70%
136	합체	[인과 역전]	상	액티브	원인과 결과를 뒤바꾸는 궁극의 시간 마법. '맞았기 때문에' 피할 수 있게 된다.	[예지] 80% + [마법 되돌리기] 80%
137	합체	[대지의 분노]	상	액티브	대지 자체를 분노하게 하여, 지면을 갈라버리고 용암을 솟구치게 한다.	[지진] 70% + [지형 변화] 70%
138	합체	[공허 소환]	상	액티브	차원의 틈새를 열어, 이 세계의 것이 아닌 혼돈의 존재 '공허'를 불러낸다.	[공간 왜곡] 80% + [마력 폭주] 80%
139	합체	[최면]	중	액티브	대상에게 '자신을 보호하라', '동료를 공격하라' 등의 간단한 명령을 내릴 수 있다.	[섭심술] 70% + [수면] 70%
140	합체	[자연과의 동화]	중	패시브	숲, 초원, 동굴 등 자연 지형에 있을 때 [은신] 능력이 극대화되며, 동물형 몬스터들이 자신을 동족으로 인식하고 공격하지 않는다.	[위장술] 80% + [동물과의 대화] 70%
141	합체	[심포니 오브 디스트럭션]	상	액티브	파괴적인 음파를 연주하여 공명을 일으키고, 증폭된 소리로 모든 것을 무너뜨린다.	[음파 공격] 80% + [메아리] 70%
142	합체	[영혼 계약]	상	패시브	자신과 사역마의 체력과 마나가 하나로 합쳐진다. 둘 중 하나라도 살아있으면 죽지 않는다. 또한, 사역마의 고유 능력 일부를 자신이 사용할 수 있게 된다.	[사역마와의 교감] 80% + [생명력 갈취] 70%
143	합체	[카오스]	상	액티브	질서와 법칙을 부정하고, 예측 불가능한 혼돈 그 자체를 힘으로 삼는 존재.	[혼돈의 도박사] 80% + [공허 소환] 80%
144	합체	[마검]	중	패시브/액티브	검에 피와 저주를 흡수시켜, 벨 때마다 적의 생명력과 영혼을 갉아먹는 사악한 검술.	[검술] 80% + [흑마법] 60%
145	합체	[뇌신검]	중	패시브/액티브	검에 뇌전의 힘을 둘러, 번개처럼 빠르고 파괴적인 힘을 손에 넣는다.	[검술] 80% + [전기 충격] 80%
